t,f1,f2,f3,fx,fy,fz,frx,fry,frz
0.75,1389.96441577156,1410.00950061583,1432.85411791392,-33.5993042919355,-31.5549817504546,-3288.25981705938,75.4107905804664,75282.8317353974,-243.336939842165
0.8,1377.68939072271,1402.22556009693,1424.11389092634,-36.6656617317921,-31.8440377784383,-3265.78271032732,12.0347858889848,74640.1574703409,-223.558513879036
0.85,1371.90129005546,1394.92825538288,1416.67761727845,-36.2191033460312,-32.4995239376831,-3249.7408696986,-23.6814088636637,74351.0562109462,-214.917077986404
0.9,1373.27445709806,1389.04323725845,1412.51729489183,-32.7411514165272,-34.1259176397272,-3242.9902513926,0.790255982369184,74455.1230507264,-230.692089113845
0.95,1379.18790685311,1384.63809353495,1411.70521502426,-27.8957111462156,-36.7427146736538,-3243.59656826013,85.0709647485539,74808.2271758174,-270.247767801
1,1386.91125084254,1381.66143334717,1414.01342771856,-23.2804154641497,-40.2656264911481,-3249.18237727442,222.852355839111,75259.297681779,-330.6364374641
1.05,1394.05445078175,1380.06754787546,1419.0585414876,-20.2505990976282,-44.5177004775583,-3257.52018120519,403.004891741626,75676.1577515328,-407.491576794869
1.1,1399.01762800111,1379.50429658274,1425.62758151437,-19.3040497894324,-49.0249412058394,-3266.12344320816,598.518484902509,75969.5916159247,-490.418804211843
1.15,1401.19436553751,1379.70825209557,1432.29567438779,-20.2849220168928,-53.1446110364965,-3273.18842855454,773.045844054468,76105.8602671429,-565.153983138233
1.2,1400.84675486556,1380.67732604062,1438.02441687257,-22.719137246975,-56.3032914057567,-3278.1089000049,894.152010535896,76100.0013633719,-619.002106031669
1.25,1398.64043641653,1382.33956168126,1441.9066962496,-25.8841729791087,-58.0333958920979,-3280.66155339297,935.980720896944,75989.1091954494,-642.100993166745
1.3,1394.86455868999,1384.64349299271,1443.34195735972,-29.4001192516327,-58.023637105033,-3280.58597521689,881.597077229127,75790.4767066062,-627.907197562135
1.35,1389.56774506609,1387.31652127183,1442.06993747535,-33.083748042815,-56.2712182792935,-3277.51695932862,731.625383644782,75507.7129433688,-576.427282148225
1.4,1383.98825578578,1389.61905611348,1438.00454894332,-35.91334521192,-53.1242716392181,-3271.7870016818,507.196996052772,75208.4433862577,-495.977641194242
1.45,1380.98103426004,1390.78561387394,1431.35719096344,-35.9563963732125,-49.1155519588131,-3265.19840340301,239.80211783208,75050.1598591611,-399.367227873874
1.5,1383.28499429395,1390.80166369979,1423.18738423887,-31.836229895537,-44.8444934657657,-3260.71167912109,-36.6605500198677,75184.3792655468,-300.214882765978
1.55,1391.63747495202,1390.68240260498,1415.69087379499,-24.0763868415703,-40.9766486988614,-3261.41699758223,-285.97228705126,75651.7237510005,-212.883134818065
1.6,1404.08349987443,1391.69400812204,1411.03983261907,-14.9552233623458,-38.019055970841,-3268.47242283287,-480.817137996919,76344.4844464433,-148.17842953509
1.65,1416.96451433573,1394.44107560584,1409.90421990944,-7.12346827719331,-36.0032452086468,-3280.00932098532,-619.722904721379,77059.8023770136,-106.304443107567
1.7,1426.65745251122,1398.94370348656,1411.5097931065,-2.57598608422972,-34.482560682647,-3292.58513997117,-727.786070633814,77596.4855297308,-76.6368239654643
