Time,X,Y,Z,Rotation 1,Rotation 2,Rotation 3
3.3,22.64431381,0.37558803,12.32418633,0.527925134,-0.172431633,-0.083180591
3.35,22.63385391,0.371947587,12.29582977,0.526947498,-0.168034852,-0.074652374
3.4,22.6227684,0.367774874,12.26787949,0.525336981,-0.163326323,-0.065668374
3.45,22.61104012,0.363058895,12.24037552,0.523118317,-0.158352062,-0.056226119
3.5,22.59867477,0.357784331,12.21335697,0.520319641,-0.153137743,-0.046316266
3.55,22.5856781,0.351935685,12.18686867,0.51696986,-0.147670358,-0.03592832
3.6,22.57207108,0.345503956,12.16094208,0.513092816,-0.141945481,-0.025059881
3.65,22.55787277,0.338484824,12.13561058,0.508707225,-0.135940641,-0.01371367
3.7,22.54309845,0.330872923,12.11091423,0.503830194,-0.129616663,-0.001889662
3.75,22.52776337,0.322661966,12.08688164,0.498478651,-0.122955516,0.010414165
3.8,22.51187706,0.313849121,12.06354713,0.492665738,-0.115928084,0.023195952
3.85,22.49544907,0.304434031,12.04094887,0.486401916,-0.108512193,0.036451276
3.9,22.47847748,0.294414759,12.01911831,0.479697257,-0.100719132,0.050178364
3.95,22.46096039,0.283789396,11.99809837,0.472560138,-0.092556976,0.064377323
4,22.44288826,0.272557527,11.97793007,0.464996487,-0.084054723,0.079047643
4.05,22.42425537,0.260719508,11.95864964,0.457009286,-0.075267911,0.094188184
4.1,22.40505791,0.248277977,11.9403019,0.448595911,-0.066223755,0.109795205
4.15,22.38530159,0.235241488,11.92292404,0.439745605,-0.056945212,0.125858903
4.2,22.36500549,0.221624717,11.90654564,0.430439264,-0.047441598,0.142365441
4.25,22.3441925,0.207443431,11.89120102,0.42065382,-0.037678719,0.159303129
4.3,22.32289124,0.192712918,11.87691498,0.410364062,-0.027629392,0.176661447
4.35,22.30112267,0.177453205,11.86371326,0.399541318,-0.017265955,0.194424152
4.4,22.27890396,0.161686376,11.85162544,0.388155729,-0.006544252,0.212572962
4.45,22.25624275,0.145426676,11.84067726,0.376184464,0.004537217,0.231097847
4.5,22.23314095,0.128682569,11.83089542,0.363611221,0.015976375,0.249993473
4.55,22.20960045,0.111466981,11.82231331,0.350419819,0.02777474,0.269248337
4.6,22.18562317,0.093794726,11.81495571,0.336593986,0.039893143,0.288847834
4.65,22.16121101,0.075677156,11.80885315,0.322120011,0.05230448,0.308781415
4.7,22.13637161,0.057128493,11.80403709,0.306983441,0.064990051,0.329037458
4.75,22.11111069,0.038168624,11.80052948,0.291167468,0.077904128,0.349598855
4.8,22.08544731,0.018817326,11.79835606,0.274656087,0.091041408,0.370447755
4.85,22.05940247,-0.000906582,11.79753876,0.257437229,0.104414165,0.391566038
4.9,22.03300285,-0.020984514,11.79809189,0.239504278,0.11802873,0.412934482
4.95,22.00627708,-0.041403748,11.80002975,0.220860079,0.131926998,0.434538364
5,21.97924614,-0.06216044,11.80336666,0.201519892,0.146142796,0.45637089
5.05,21.95192909,-0.083253928,11.80811119,0.181507394,0.160681441,0.478426635
5.1,21.92433739,-0.104681388,11.81428146,0.16084832,0.175560787,0.500696778
5.15,21.89646912,-0.126438022,11.82189274,0.139569327,0.190763742,0.523170829
5.2,21.86832428,-0.148518175,11.83095551,0.117698811,0.206243798,0.54583925
5.25,21.83990479,-0.170914963,11.84148884,0.095266074,0.221973777,0.568691552
5.3,21.81121635,-0.193618655,11.85350704,0.072300576,0.237913936,0.591712415
5.35,21.78227043,-0.21661827,11.8670187,0.048834022,0.254020035,0.614884377
5.4,21.75308418,-0.239908382,11.88203526,0.024904734,0.270281613,0.63819629
5.45,21.72367668,-0.263490379,11.89856243,0.000558954,0.286682755,0.661644101
5.5,21.69407272,-0.28736493,11.91660023,-0.024154719,0.303217292,0.685222387
5.55,21.66429329,-0.311528951,11.93615246,-0.049189374,0.319909662,0.708921552
5.6,21.63435936,-0.335980594,11.95721531,-0.074497946,0.336767733,0.732734323
5.65,21.60429382,-0.360718369,11.9797821,-0.100033931,0.353797942,0.756654203
