t,x,y,z,rx,ry,rz
2.95,0.249042000707256,0.56137447727941,-1.12931319385733,0.00899674177366418,-0.0033701312669271,-0.00227851922269758
3,0.242227325509557,0.559908074626655,-1.15858113722325,0.00906478345200647,-0.00333545633943883,-0.00218300927333472
3.05,0.234741195066604,0.557639917232483,-1.18762136868723,0.00912057356477159,-0.00329645638134437,-0.00208000618916073
3.1,0.226586609505098,0.554565368973448,-1.21637232174058,0.00916393627003738,-0.00325208925654734,-0.00196951620100106
3.15,0.217767412764378,0.550675532932589,-1.24478362650921,0.00919483725463077,-0.00320151467627937,-0.00185148797872238
3.2,0.208289730749637,0.545964282465687,-1.27282367825209,0.00921334830394389,-0.00314447674036554,-0.00172590082271978
3.25,0.198145219673819,0.540424597625551,-1.3004317749209,0.00921963379308568,-0.0030803572357315,-0.00159271389228876
3.3,0.187323394092786,0.534042804820085,-1.32757921677777,0.00921403179233226,-0.00300949973044051,-0.00145177518670476
3.35,0.175811266947747,0.526804992417546,-1.35424601099236,0.00919696882524623,-0.00293276142550138,-0.00130292972073021
3.4,0.16359968930049,0.518704125754366,-1.3803874397351,0.00916886000093689,-0.00285058209152574,-0.00114612934073104
3.45,0.150682574939527,0.509734363820724,-1.40598129253028,0.00913013700914143,-0.0027637648592222,-0.000981330902168142
3.5,0.137071851302366,0.499883583159772,-1.43099831433974,0.00908129089824488,-0.0026727578244229,-0.000808371338929504
3.55,0.122770289388541,0.489139077006895,-1.45538836178153,0.00902282619057413,-0.00257733395469875,-0.000627067478710129
3.6,0.107797935587818,0.477496640008993,-1.47911800141495,0.00895515900752944,-0.00247741600177705,-0.000437377433607969
3.65,0.092168638936112,0.46495747801497,-1.50214479114834,0.00887861600493361,-0.0023726117727216,-0.000239348694031971
3.7,0.0758885021254478,0.451520237541516,-1.52441306286763,0.00879349575626178,-0.00226223753479791,-0.0000329808236498211
3.75,0.0589686425186109,0.43718189805354,-1.54588688585222,0.00870009371084972,-0.00214597858768857,0.000181761468095955
3.8,0.0414118307224385,0.421943485987911,-1.56652025751083,0.00859863923986774,-0.00202332676132856,0.000404845735534564
3.85,0.0232225201131087,0.405808903971626,-1.58626603348225,0.00848931492220889,-0.00189389504640954,0.000636194782753189
3.9,0.0044016627642165,0.388779460356138,-1.60509691379457,0.00837229654743542,-0.00175788047315078,0.000875777665064192
3.95,-0.0150505280067286,0.370855342802754,-1.62297287034486,0.00824773032177877,-0.00161542397688937,0.00112359624996987
4,-0.0351365006017446,0.352037963113217,-1.63986397757063,0.00811571970835701,-0.00146703166820181,0.00137964163629105
4.05,-0.0558485772935029,0.332329133434952,-1.65575550970905,0.00797631675288843,-0.00131367286804806,0.00164389392727424
4.1,-0.0771839080081023,0.311732543078148,-1.67061303451678,0.00782947565793345,-0.00115582256778406,0.00191628783015214
4.15,-0.0991311415210454,0.290258232459654,-1.68440806072915,0.00767500867842444,-0.000993881442646185,0.00219665225029817
4.2,-0.12166880388823,0.267921927553464,-1.69711433696507,0.0075125823866611,-0.000828012087507557,0.00248474568650373
4.25,-0.144781939903073,0.244738542969504,-1.70868378524778,0.00734179417009157,-0.000657617704483745,0.00278036410977926
4.3,-0.168448190397896,0.220721586341993,-1.71908057535108,0.00716220401375815,-0.000482223860724181,0.00308332391148746
4.35,-0.19265296968512,0.195890749494677,-1.72826770410016,0.00697331149685769,-0.000301347763251178,0.00339334159779792
4.4,-0.217389391236512,0.170268279553609,-1.73619781488682,0.00677459548152884,-0.000114218744480224,0.00371009808761679
4.45,-0.242649963427539,0.143867151157288,-1.74284412576591,0.00656565749165008,0.0000791893755274595,0.0040334183244201
4.5,-0.268432067869693,0.116694286568447,-1.74818028501627,0.00634621300364675,0.000278840346283309,0.00436320921234555
4.55,-0.294733967161154,0.0887635258783764,-1.75217179970863,0.00611597960579258,0.00048476066188537,0.00469926998616927
