t,f1,f2,f3
2.25,1409.16343761974,1416.45170630667,1367.87252893448
2.3,1419.72700550276,1412.25230361291,1366.43992846202
2.35,1426.64851531751,1409.57866366141,1368.36207864481
2.4,1427.69453400602,1408.62283845053,1373.0713980796
2.45,1422.55572245548,1409.04714508492,1379.39219179924
2.5,1413.06341991508,1409.88891423449,1385.83074113459
2.55,1402.52036942097,1409.99365978974,1391.16305597383
2.6,1394.46117426069,1408.55979837629,1394.78981269123
2.65,1391.44362023761,1405.28550933313,1396.65366149238
2.7,1394.3500351635,1400.54613702503,1397.33538678098
2.75,1402.58507143277,1395.07760084533,1397.73710663413
2.8,1414.83003870482,1389.50034567612,1398.55241472875
2.85,1429.20424084312,1384.46474184846,1400.32273798768
2.9,1442.47340299468,1380.70161137801,1403.47225945424
2.95,1455.87234709508,1378.87000369359,1408.21988332202
3,1465.62987183709,1379.58389709144,1414.68628059337
3.05,1469.08248719076,1383.0229725102,1422.6094228697
3.1,1466.00229900245,1388.18211046772,1431.18619874288
3.15,1458.05947951739,1392.65154452874,1439.24917158754
3.2,1448.43977925534,1399.41875107908,1445.41397833108
3.25,1440.97612193134,1405.71211549556,1448.55623167368
3.3,1438.62907446383,1410.20927159549,1448.35474063868
3.35,1442.78446438429,1413.02050356936,1445.21461577665
3.4,1453.32888056128,1414.9375240837,1440.1187310934
3.45,1468.10422616264,1417.04473563099,1434.39231169819
3.5,1483.56550513642,1420.070261125,1429.26119441265
3.55,1496.47653148316,1424.04322901979,1425.58267341531
3.6,1504.83580372726,1429.09031250521,1423.78546319732
3.65,1507.87437441009,1436.02596689734,1423.86101279682
3.7,1505.50083939706,1444.8721076688,1425.46811896846
3.75,1498.05988100727,1454.54491237447,1427.99839263314
3.8,1487.00013742936,1463.72685423228,1430.55157630298
3.85,1475.29859993547,1471.53536143471,1432.19712858645
3.9,1466.44342908492,1477.62142046198,1432.14978455027
3.95,1463.41413231623,1481.62164504849,1429.96928273367
4,1467.73504967001,1483.25462199981,1425.96527720918
4.05,1478.9414305914,1482.86000682786,1421.10679013565
4.1,1494.61438231073,1481.42234732867,1416.33479991978
4.15,1511.04265215563,1480.12064798479,1414.28131647441
4.2,1524.3627696667,1479.75607095443,1415.56356595073
4.25,1531.81395969586,1480.52723098591,1420.26969071215
4.3,1532.54413107407,1482.31612260052,1428.0955804931
4.35,1527.59257530418,1484.90627771534,1438.11726178357
4.4,1519.09468497407,1487.87758955617,1449.04478636333
4.45,1509.6187694455,1490.54615086675,1459.62415844173
4.5,1501.86526003248,1492.12874607332,1468.72931304449
4.55,1498.26009142062,1492.15237513742,1475.65009735143
4.6,1500.56214172343,1490.60659246003,1480.40767437518
4.65,1509.44663953641,1487.72331505748,1483.35420291555
4.7,1524.07397641133,1484.00947078694,1485.16305601796
4.75,1542.05401995214,1480.23845750524,1486.9100275866
4.8,1559.92541942275,1477.34655058024,1489.8391786333
4.85,1574.01374868646,1476.24772008139,1494.9729820302
4.9,1581.61837393172,1477.47136345703,1502.39637892224
4.95,1581.9017242745,1480.96406998316,1511.07999857499
5,1576.10903444728,1486.04162924552,1519.93193138646
5.05,1567.11277731026,1491.93516512503,1527.65676429912
5.1,1558.41871185487,1497.93984295031,1533.0098185702
5.15,1553.06537775038,1503.36618826772,1535.20821429709
5.2,1553.00413398573,1507.67486775861,1534.11355725996
5.25,1558.97226838041,1510.69072423096,1530.2156641116
5.3,1570.42526252007,1512.72038267034,1524.45579661759
5.35,1585.7294011858,1514.35627574144,1517.86564966213
5.4,1602.49211633739,1516.26972486379,1511.41540881329
5.45,1617.87830995761,1519.14721932959,1506.08826638682
5.5,1629.20828333966,1523.54687036942,1502.63404122731
5.55,1634.62313926959,1529.77423825313,1501.27587584898
5.6,1633.69260793887,1537.7307009895,1501.57113608963
5.65,1627.73297938718,1546.79350992998,1502.50578155841
5.7,1619.4383711234,1555.9645262866,1502.95370612919
5.75,1612.17087610405,1564.15602074373,1502.04504157417
5.8,1609.02757070325,1570.44176762744,1499.26603846041
5.85,1611.50709787718,1574.40714110121,1494.69147947161
5.9,1619.23739543973,1576.2338907003,1489.0337035019
5.95,1631.48673918042,1576.47616430504,1483.32543254858
6,1646.36234302625,1576.00376395518,1478.68828934511
6.05,1661.45369167464,1575.7777547385,1475.99591818805
6.1,1674.4147034448,1576.55414619647,1475.70069710115
6.15,1683.44653377382,1578.75973203274,1477.95511126147
6.2,1687.61141306469,1582.39529358376,1482.56689609968
