t,x,y,z,rx,ry,rz
7.95,-0.410341414517311,-0.53748763574079,1.34521025194655,-0.00407622184364686,0.00151698437020401,0.00429613238692035
8,-0.395621911705171,-0.519993694315557,1.3378280647725,-0.00374507448582675,0.00132424022580365,0.00410314895787953
8.05,-0.380730413663677,-0.502100929284517,1.32936747830819,-0.00340994477534579,0.0011342194931681,0.00390705290865073
8.1,-0.365653311773698,-0.483821334530017,1.31981490564931,-0.00307180234732323,0.000946504096128358,0.00370813972347631
8.15,-0.350403209412462,-0.465165699562264,1.30916047284381,-0.00273155854288125,0.000760338760903891,0.00350655091365198
8.2,-0.334945503805236,-0.446146715364861,1.29735208210018,-0.00239009140225996,0.000573699010282163,0.0033023572348256
8.25,-0.31925815523131,-0.426788246402585,1.28435224586065,-0.0020481290419167,0.000384362830685853,0.00309581661175409
8.3,-0.303315436318904,-0.407119555813154,1.27014463699881,-0.00170644959944519,0.000191283652882287,0.00288731605374576
8.35,-0.287109291383287,-0.387158875985385,1.25472100349188,-0.0013659727586415,-0.00000639991292754674,0.00267715097522979
8.4,-0.270645380427439,-0.366901483809954,1.23808614300147,-0.00102793857593913,-0.000208816846575376,0.00246529233392748
8.45,-0.253982154473371,-0.346328373281031,1.2202743583747,-0.000693761815229749,-0.000414712500675105,0.00225150297449997
8.5,-0.237179921677908,-0.325424151393454,1.20133472507881,-0.000364645043274565,-0.000622684572985938,0.00203557883305122
8.55,-0.220303272748228,-0.304188290618548,1.18130804079053,-0.0000413164114375537,-0.000831001976142574,0.00181749924488283
8.6,-0.203424905940301,-0.282642687988885,1.16024348040981,0.00027619479365644,-0.00103787756280413,0.00159748471489248
8.65,-0.186575728189615,-0.260830925679636,1.13815171463916,0.000588546107349857,-0.00124294306849844,0.00137598874943308
8.7,-0.169789925564194,-0.238809236090933,1.1150391304579,0.000896906865334914,-0.00144615890915806,0.00115363146398782
8.75,-0.153037235485491,-0.216649338619745,1.09091432670405,0.00120274593671015,-0.00164772063147241,0.000931286605286817
8.8,-0.136290180741874,-0.194430365729183,1.0657589049944,0.00150754060306096,-0.00184876221076307,0.000710048634397446
8.85,-0.119490813566165,-0.172209126363867,1.03955534007329,0.00181219375811602,-0.0020501450368291,0.000490620849195045
8.9,-0.102606797109701,-0.149993579101888,1.01230119712671,0.00211670959066554,-0.00225284701765035,0.000273019795400953
8.95,-0.0856416296684226,-0.127749672329922,0.983988776679421,0.00242025585790898,-0.0024577668581653,0.0000566546441568144
9,-0.0685922875970224,-0.1054344368733,0.954648144686043,0.00272168821726903,-0.00266456966459706,-0.000159132174786421
9.05,-0.0515291284186081,-0.0830267237734339,0.924315159126156,0.00302027848247509,-0.00287282468968621,-0.000374598551278974
9.1,-0.0345313893027899,-0.0605422228357289,0.893012403271354,0.00331603084231745,-0.00308199102099102,-0.000589586428303805
9.15,-0.0176782111572193,-0.0380342260563782,0.860812254612626,0.003609885680197,-0.00329064143296892,-0.00080347987916788
9.2,-0.00106221689406327,-0.0155949340268946,0.827760373370492,0.00390356165673482,-0.0034977479266905,-0.00101518035873341
9.25,0.0152801234694944,0.00666893906966948,0.793893836643885,0.00419904774914645,-0.0037024846821669,-0.00122336050919766
9.3,0.0313211313074935,0.028673422790042,0.759260918270812,0.00449797510724425,-0.00390412546789636,-0.00142698412858369
9.35,0.0470612622139188,0.0503769247345143,0.723848861750551,0.00480111356085469,-0.00410323835364383,-0.00162558521398128
9.4,0.0625503752273104,0.0717808680982857,0.687671767878217,0.00510824253526687,-0.00430041008419724,-0.00181928436764177
9.45,0.0778423749180468,0.0929093882867349,0.650736733652408,0.00541843417854388,-0.00449597768263511,-0.00200851031224254
9.5,0.0929845909691585,0.113785126422983,0.613050511792348,0.00573044435018171,-0.00469064022313607,-0.00219359581225882
