t,f1,f2,f3,fx,fy,fz,frx,fry,frz
6.7,1705.25302557209,1603.80141911486,1491.94619099958,200.859985494587,143.938072605581,-3831.77269471784,4044.54206628718,83005.1361907643,-3202.32741534365
6.75,1718.00152044665,1603.87365775959,1496.96231105147,208.644180678491,142.051108432208,-3844.68653759917,4401.81751367619,83419.5079147866,-3301.92286814606
6.8,1726.64055604233,1606.12472691572,1503.8452978076,212.759350269384,140.37933441909,-3857.45053519251,4758.24082647978,83605.2456524138,-3404.30957285825
6.85,1730.80566703066,1610.23975972109,1511.63534286864,213.311645188339,139.230645136507,-3868.76626207716,5089.8738172156,83547.1599850653,-3500.7945200596
6.9,1730.95621693997,1615.50123437692,1519.17924724253,211.084021140932,138.79574704531,-3877.51045850623,5377.83896155787,83275.0733970222,-3583.58692704315
6.95,1728.19465045595,1620.95734694181,1525.23913238934,207.357104916693,139.184242640199,-3882.8144679724,5607.03154922995,82853.2538903275,-3645.71180158784
7,1724.09010899676,1625.70340100302,1528.71800091693,203.659034590103,140.462820259286,-3884.32638084464,5765.60267526318,82369.8411076878,-3681.20683578845
7.05,1720.46326854007,1629.05328584926,1528.89832583601,201.521151096487,142.626421794818,-3882.36692582499,5848.26716107262,81924.3175725162,-3686.6295742169
7.1,1719.05017975679,1630.64388908066,1525.65759710293,202.172671782847,145.545853337763,-3877.92488266834,5860.92817459763,81609.2203750228,-3662.99161636443
7.15,1721.07973634577,1630.4983002532,1519.57857896055,206.222985520354,148.943667756806,-3872.46692936589,5822.83168209309,81487.906473503,-3616.66879888291
7.2,1726.9366802554,1629.08789942073,1511.77302066958,213.470090705074,152.515497464633,-3867.58207310744,5758.65503272498,81577.6205540741,-3556.80694548841
7.25,1735.97818067567,1627.36445686359,1503.61154914767,222.851936042333,156.085556937917,-3864.6489622986,5688.14813712348,81840.3593122564,-3492.04100034459
7.3,1746.80231326875,1626.45305379684,1496.43991127413,232.776741290237,159.584007397784,-3864.57101618441,5625.32604954919,82198.4097688204,-3429.75195532233
7.35,1757.56957750189,1627.15739650568,1491.19908093859,241.571231316685,162.965696211545,-3867.32918034478,5579.55763545468,82553.2257012296,-3375.5150856118
7.4,1766.3468835388,1629.70883636329,1488.16369442327,247.855939123472,166.204414539332,-3871.84226355994,5553.50171994027,82804.1859333858,-3331.8191504893
7.45,1771.61708541512,1633.86932465063,1486.93325596368,250.834333509595,169.357336710267,-3876.43281476911,5539.5884920626,82875.0812909955,-3296.83255686418
7.5,1772.75882789343,1639.07373083372,1486.53496741768,250.540191112668,172.594129692452,-3879.38870647091,5519.35552211559,82737.7434908347,-3264.0735016722
7.55,1770.15634339963,1644.62039411702,1485.77765265566,247.760435436918,176.124069468487,-3879.48586491576,5470.39454453947,82416.1623849962,-3224.90521331618
7.6,1764.63943378379,1649.8099913944,1483.63789342643,243.514764205759,180.077118952818,-3875.98091969804,5376.10778360565,81957.2259374533,-3172.45511206329
7.65,1757.95816789437,1653.92037648293,1479.39763843298,239.341448832294,184.42378432281,-3869.06023000624,5231.65527436897,81453.9369682286,-3103.08850659132
7.7,1751.93546349822,1656.42134678664,1472.84313845005,236.639542504254,188.98695924642,-3859.52538004411,5044.71651029225,81001.012764228,-3017.43037029258
