Time,X,Y,Z,Rotation 1,Rotation 2,Rotation 3
6.7,20.9667717,-0.924628118,12.78138252,-0.653953847,0.707315768,1.25619804
6.8,20.90785839,-0.978945339,12.88588072,-0.701450503,0.737798261,1.300837915
6.9,20.84983217,-1.032791885,12.99443245,-0.747634748,0.766958207,1.344454116
7,20.79282666,-1.08596758,13.10672117,-0.792470938,0.794677569,1.386889761
7.1,20.73700786,-1.138253094,13.2224073,-0.835945038,0.820861152,1.427973029
7.2,20.68255981,-1.189449261,13.34113442,-0.878010039,0.845431691,1.467546291
7.3,20.62965484,-1.239404016,13.46253333,-0.918545291,0.868319601,1.505483296
7.4,20.57842995,-1.288001095,13.58622691,-0.957367659,0.889448365,1.541679564
7.5,20.52899727,-1.335130927,13.71182753,-0.994267009,0.908736499,1.576029332
7.6,20.48147468,-1.380678091,13.83892979,-1.029022,0.926112607,1.608418623
7.7,20.43600416,-1.424539195,13.96710917,-1.06138429,0.941524608,1.638742315
7.8,20.3927392,-1.466647943,14.09593168,-1.091062209,0.954931843,1.666927731
7.9,20.35181602,-1.506970237,14.22496336,-1.11773303,0.966290874,1.692936237
8,20.31333733,-1.545478907,14.3537697,-1.141082139,0.97555197,1.716738059
8.1,20.27737711,-1.582124814,14.48191374,-1.16084305,0.982657075,1.738292108
8.2,20.24400434,-1.616838883,14.60895539,-1.176801467,0.987547383,1.757551534
8.3,20.21329796,-1.649556644,14.73444874,-1.188772761,0.990175619,1.774484214
8.4,20.18534038,-1.680230786,14.8579463,-1.196597062,0.990507523,1.789082462
8.5,20.160191,-1.708811922,14.9790078,-1.200168824,0.988510974,1.801350763
8.6,20.13787213,-1.735224294,15.09720569,-1.199467983,0.984145843,1.811284846
8.7,20.11837861,-1.759365002,15.21212079,-1.194554302,0.977369334,1.818865502
8.8,20.10170441,-1.781127864,15.32333585,-1.185529381,0.968147512,1.824071387
8.9,20.08785226,-1.800428319,15.43043834,-1.172503463,0.95645839,1.826899726
9,20.07682375,-1.817207685,15.53302457,-1.155590314,0.942293432,1.827368234
9.1,20.06859893,-1.831410966,15.63070404,-1.134929526,0.92565317,1.825498896
9.2,20.06312059,-1.842972961,15.72310554,-1.11070007,0.906538458,1.821305374
9.3,20.06030429,-1.851831273,15.8098779,-1.083093085,0.884950151,1.814801113
9.4,20.06006407,-1.857959989,15.8906854,-1.052261398,0.860898921,1.806018984
9.5,20.06233109,-1.861383551,15.96520307,-1.018294974,0.834418651,1.795023233
9.6,20.06704179,-1.862161051,16.03312218,-0.981246214,0.805562436,1.781897423
9.7,20.07411369,-1.860358672,16.09415775,-0.941167624,0.774393508,1.766727253
9.8,20.08343265,-1.856043564,16.14805072,-0.898120464,0.740980329,1.749595324
9.9,20.09486033,-1.84930144,16.19456745,-0.852151636,0.705392696,1.730594592
10,20.10825207,-1.840257487,16.2334988,-0.80327048,0.667703018,1.70984309
10.1,20.12347291,-1.829070721,16.26465775,-0.751457839,0.627992245,1.687481904
10.2,20.14039589,-1.815906769,16.28787529,-0.696707843,0.586355679,1.663655003
10.3,20.15888202,-1.800912536,16.30300843,-0.639069531,0.54289876,1.638494187
10.4,20.17876877,-1.784219104,16.30994503,-0.578649091,0.497728745,1.612123253
10.5,20.19987728,-1.765965098,16.30860347,-0.515581098,0.450957637,1.58467283
10.6,20.22203045,-1.746307976,16.29892943,-0.450014751,0.402705819,1.556287204
10.7,20.24506203,-1.725406627,16.28089497,-0.382135957,0.353103785,1.52711109
10.8,20.26881183,-1.703397938,16.25450185,-0.312199489,0.302294674,1.497272875
10.9,20.29311512,-1.680392451,16.21978148,-0.240534957,0.250439691,1.466882269
11,20.31779805,-1.65649241,16.17679909,-0.167520328,0.19772061,1.436046419
11.1,20.34268403,-1.631814087,16.12565697,-0.093547552,0.144336131,1.404885495
11.2,20.36760935,-1.606490339,16.06649253,-0.01900299,0.090503382,1.373530765
11.3,20.39243127,-1.580659191,15.99947247,0.055730028,0.036457005,1.342110934
11.4,20.41701568,-1.554452808,15.92479482,0.130268463,-0.017561967,1.310744144
11.5,20.44121941,-1.528008256,15.84269072,0.20424903,-0.071314379,1.279547042
11.6,20.4648856,-1.501488772,15.7534232,0.277358961,-0.124564294,1.248653242
11.7,20.48785409,-1.475088921,15.65728338,0.349348995,-0.177078044,1.218219627
11.8,20.50997547,-1.449020354,15.55458915,0.420017921,-0.22862967,1.188414816
11.9,20.53111708,-1.423492852,15.44568304,0.489193623,-0.279007091,1.159403801
12,20.55115619,-1.398712113,15.33092733,0.556730854,-0.328015753,1.131344637
12.1,20.56996247,-1.374891707,15.2107046,0.622518595,-0.375487275,1.10439954
12.2,20.5873881,-1.352256915,15.08541913,0.686478034,-0.421281959,1.078743322
12.3,20.60327887,-1.33103238,14.95549406,0.748539054,-0.465281558,1.054555274
12.4,20.61749198,-1.311417862,14.82136653,0.808607526,-0.50738167,1.03200295
12.5,20.62990355,-1.293575324,14.68348546,0.866548128,-0.547494464,1.011232985
12.6,20.64040134,-1.277638293,14.54231259,0.92219496,-0.585556173,0.99237462
12.7,20.64887237,-1.26372931,14.39831903,0.975372251,-0.62152635,0.975548982
12.8,20.65519824,-1.251961757,14.25198307,1.025892813,-0.655383278,0.960870692
12.9,20.65926224,-1.242422212,14.10379034,1.073539252,-0.687119112,0.948436333
13,20.66096565,-1.235156954,13.95423074,1.118051701,-0.716730596,0.938312285
13.1,20.66023518,-1.230178838,13.80379456,1.159147669,-0.744216131,0.930536115
13.2,20.65701523,-1.227489426,13.6529714,1.196558216,-0.769582013,0.925129806
13.3,20.65125225,-1.227096021,13.50225254,1.230055918,-0.792849906,0.922110756
13.4,20.64289219,-1.229007968,13.35212856,1.259455507,-0.814050333,0.921489316
13.5,20.63189405,-1.233222845,13.2030849,1.284598714,-0.833208694,0.923258762
13.6,20.61824266,-1.239719389,13.05560033,1.305349362,-0.850339235,0.927392947
13.7,20.60195383,-1.248471671,12.9101464,1.321615244,-0.865445266,0.933854733
13.8,20.58306516,-1.259469375,12.76718555,1.333376083,-0.878524598,0.942607834
13.9,20.56161876,-1.272721956,12.62717048,1.340687694,-0.889578405,0.953619486
14,20.53765367,-1.288241299,12.49054652,1.343656051,-0.898615226,0.966853725
14.1,20.51121593,-1.306024697,12.3577493,1.342407727,-0.905642103,0.982262418
14.2,20.48237713,-1.326051925,12.22919946,1.337080393,-0.910650446,0.999786549
14.3,20.45124046,-1.348295993,12.10530124,1.327829649,-0.913616455,1.01936614
14.4,20.41793004,-1.372732196,11.98644514,1.314836495,-0.914511957,1.040944949
14.5,20.38257302,-1.399332889,11.87300722,1.298296125,-0.913314646,1.064465239
14.6,20.34529013,-1.42805114,11.76534858,1.278391139,-0.910013424,1.089854653
14.7,20.3061987,-1.458809928,11.6638135,1.255271696,-0.90460861,1.117020449
14.8,20.2654268,-1.491506514,11.5687282,1.229057003,-0.897105327,1.145856014
14.9,20.22312406,-1.526026946,11.48039687,1.199852821,-0.887506723,1.176249715
15,20.17945531,-1.562249319,11.39909988,1.167759257,-0.875819256,1.208085974
15.1,20.13458446,-1.600036235,11.32509759,1.132863927,-0.862066777,1.241238645
15.2,20.08866543,-1.639228635,11.25863071,1.095236842,-0.846295603,1.275563974
15.3,20.04184782,-1.679649904,11.19991624,1.054937338,-0.828570195,1.3109038
15.4,19.99428758,-1.721119204,11.14914545,1.012032011,-0.808967018,1.34709804
15.5,19.946153,-1.763462736,11.10648364,0.966609759,-0.787570971,1.383992801
15.6,19.89761992,-1.806512948,11.07206811,0.918787335,-0.76447554,1.421439099
15.7,19.84886015,-1.850102114,11.04600736,0.868705294,-0.739787981,1.459285284
15.8,19.80003218,-1.894060445,11.02838272,0.816526971,-0.713638228,1.497375648
15.9,19.75128497,-1.938225478,11.0192481,0.762448681,-0.686176439,1.535559501
16,19.70277268,-1.982451523,11.01862489,0.706711029,-0.657561521,1.573700558
16.1,19.65466111,-2.026610384,11.02649997,0.649593572,-0.627955266,1.611677904
16.2,19.60711815,-2.070578991,11.04282802,0.591397532,-0.597524265,1.649377239
16.3,19.5603026,-2.114231483,11.06753243,0.532432936,-0.566444557,1.686683306
16.4,19.51435684,-2.157442772,11.1005046,0.473017387,-0.53490269,1.723480416
16.5,19.46941085,-2.200093996,11.14160507,0.413476067,-0.503094339,1.759660462
16.6,19.42559346,-2.242074295,11.19066335,0.354133969,-0.471217045,1.795126326
16.7,19.38304288,-2.283271968,11.24747687,0.295297626,-0.439458373,1.829785481
16.8,19.34190233,-2.323561762,11.31180931,0.237235282,-0.407992172,1.863539849
16.9,19.30230774,-2.362802724,11.38339605,0.180172493,-0.376984847,1.896281428
17,19.26437979,-2.400850078,11.46194588,0.124305468,-0.346599924,1.927896879
17.1,19.22822592,-2.437565768,11.54714159,0.069815172,-0.316995296,1.958276493
17.2,19.19395217,-2.472817928,11.63864022,0.016863233,-0.288317466,1.987312268
17.3,19.16166731,-2.506469489,11.73607708,-0.034421749,-0.260697675,2.014893639
17.4,19.13148174,-2.538375593,11.83906542,-0.083944966,-0.234247474,2.040901292
17.5,19.10350201,-2.568391905,11.94719813,-0.131628324,-0.209059097,2.065212069
17.6,19.07782208,-2.596389222,12.06005173,-0.177387083,-0.185211838,2.087708151
17.7,19.05452501,-2.622261443,12.17719009,-0.221116942,-0.162775067,2.108282815
17.8,19.03369052,-2.645920341,12.29816444,-0.26269852,-0.141804986,2.126839372
17.9,19.01539965,-2.667286407,12.42251459,-0.302010901,-0.122341948,2.143284333
18,18.99972922,-2.686285201,12.54977327,-0.338936158,-0.104413149,2.15752976
18.1,18.98674585,-2.702857454,12.67946832,-0.373346011,-0.088035355,2.16950052
18.2,18.97650121,-2.716968216,12.81112424,-0.405089448,-0.073214745,2.179140905
18.3,18.96903618,-2.728604056,12.94426413,-0.433999558,-0.059948924,2.18641463
18.4,18.96438509,-2.737760384,13.07841342,-0.459913563,-0.048228609,2.191300136
18.5,18.96257927,-2.744434076,13.21310046,-0.482688028,-0.038037327,2.193784404
18.6,18.96364202,-2.748623534,13.3478567,-0.502200811,-0.029353152,2.193865299
18.7,18.96757963,-2.750336034,13.48221997,-0.518345351,-0.022154364,2.191556482
18.8,18.97437539,-2.749592319,13.61573685,-0.531027144,-0.016423433,2.186888261
18.9,18.98399463,-2.746419452,13.74796183,-0.54017138,-0.012144027,2.179902898
19,18.99639351,-2.740841898,13.8784574,-0.545738411,-0.00929899,2.170646071
19.1,19.01152171,-2.732876613,14.00679685,-0.547730212,-0.007872332,2.159166444
19.2,19.02931931,-2.722542318,14.13256577,-0.546180879,-0.007850099,2.145518445
19.3,19.0497112,-2.709866248,14.25536196,-0.541143935,-0.009220489,2.129766108
19.4,19.0726023,-2.694885751,14.37479737,-0.532689868,-0.011974296,2.111980509
19.5,19.09788117,-2.677642229,14.49049987,-0.5209103,-0.01610388,2.092234432
19.6,19.12542764,-2.658178299,14.6021129,-0.505919102,-0.02159779,2.070597887
19.7,19.15512093,-2.636541092,14.70929527,-0.487846315,-0.028436812,2.047143017
19.8,19.1868361,-2.612789478,14.81172332,-0.466828489,-0.036596647,2.021949224
19.9,19.22043718,-2.586999795,14.90909352,-0.443000413,-0.046049459,1.995106367
20,19.25577819,-2.55926121,15.0011211,-0.416494824,-0.05676076,1.966710923
20.1,19.29270551,-2.529672144,15.08753978,-0.387447417,-0.068685843,1.936861075
20.2,19.33106455,-2.498338269,15.16810323,-0.355996957,-0.081768063,1.905656289
20.3,19.3707028,-2.465378254,15.24258584,-0.322277327,-0.095937918,1.873203286
20.4,19.41146839,-2.430927557,15.31078279,-0.286413364,-0.111113591,1.839619886
20.5,19.45320325,-2.395134236,15.3725116,-0.248527479,-0.12720623,1.805033942
20.6,19.49573918,-2.358151814,15.42761423,-0.208749164,-0.144123088,1.769578857
20.7,19.53890385,-2.320133822,15.47595482,-0.167219666,-0.161763265,1.73338942
20.8,19.58253024,-2.28123664,15.51741902,-0.124090543,-0.180013451,1.696603302
20.9,19.62645969,-2.241622419,15.55191498,-0.079520584,-0.198749273,1.659364043
21,19.67053683,-2.20145959,15.57937632,-0.033676648,-0.217839625,1.621821802
21.1,19.71460358,-2.160915619,15.599762,0.013258954,-0.237150091,1.584127375
21.2,19.75849541,-2.120151681,15.61305694,0.06107984,-0.256545774,1.546426652
21.3,19.80204455,-2.079320384,15.61927295,0.109557088,-0.275892018,1.508859437
21.4,19.84508979,-2.038573162,15.61844737,0.15845053,-0.295048484,1.471562549
21.5,19.88748247,-1.998063851,15.6106414,0.207516982,-0.313865122,1.434672911
21.6,19.92908485,-1.957946266,15.59594211,0.256509328,-0.332186037,1.398325952
21.7,19.96976092,-1.918369058,15.57446409,0.305172986,-0.349857124,1.362650274
21.8,20.00937226,-1.879473872,15.54634858,0.353248819,-0.366730225,1.327765616
21.9,20.04777991,-1.841400024,15.51176151,0.400482859,-0.38266447,1.293785318
22,20.08485107,-1.804290296,15.47089175,0.446638076,-0.397526961,1.260820798
22.1,20.12046207,-1.76829231,15.42395088,0.491500413,-0.411191235,1.228983472
22.2,20.15450022,-1.733554891,15.37117115,0.534875102,-0.423536188,1.198382623
22.3,20.1868553,-1.700220543,15.31280595,0.576579063,-0.434451578,1.169121773
22.4,20.21741678,-1.668423961,15.24913067,0.616441061,-0.443844235,1.141300171
22.5,20.24607358,-1.638298648,15.18044002,0.654309124,-0.451639002,1.115015575
22.6,20.27272238,-1.609977622,15.10704485,0.690054866,-0.457775553,1.09036649
22.7,20.29726928,-1.583589568,15.02927086,0.723567135,-0.462206425,1.067450778
22.8,20.31963001,-1.559251693,14.94745855,0.75474172,-0.464896559,1.046360862
22.9,20.33972641,-1.537065404,14.86196166,0.783475205,-0.465821996,1.027180943
23,20.35748359,-1.517117273,14.77314614,0.809664551,-0.464971531,1.009987009
